Crop,Current_N,Current_P,Current_K,Required_N,Required_P,Required_K
Arhar/Tur,15,108,4,5,0,36
Groundnut,17,53,58,8,7,0
Wheat,118,30,22,2,30,18
Soyabean,3,43,7,17,37,33
Groundnut,0,16,47,25,44,0
Maize,104,64,71,46,11,0
Sugarcane,187,52,83,88,33,0
Mustard,54,35,0,26,5,40
Groundnut,35,63,49,0,0,0
Maize,33,18,65,117,57,0
Soyabean,9,53,37,11,27,3
Gram,11,37,29,9,23,0
Wheat,151,77,55,0,0,0
Arhar/Tur,3,17,48,17,63,0
Sugarcane,150,24,80,125,61,0
Wheat,50,87,13,70,0,27
Paddy,36,36,56,84,24,4
Soyabean,1,79,19,19,1,21
Mustard,30,56,23,50,0,17
Arhar/Tur,21,118,9,0,0,31
Lentil,22,2,20,0,58,0
Arhar/Tur,13,9,35,7,71,5
Potato,81,45,114,69,35,6
Groundnut,33,4,41,0,56,0
Gram,5,23,18,15,37,2
Gram,23,25,18,0,35,2
Wheat,143,58,17,0,2,23
Mustard,92,23,53,0,17,0
Groundnut,13,29,39,12,31,1
Groundnut,7,42,30,18,18,10
Mustard,7,34,18,73,6,22
Cotton,134,56,17,0,4,43
Lentil,15,38,17,5,22,3
Arhar/Tur,22,4,48,0,76,0
Maize,27,91,44,123,0,6
Gram,20,60,9,0,0,11
Groundnut,28,16,49,0,44,0
Maize,116,79,37,34,0,13
Wheat,49,19,15,71,41,25
Soyabean,23,40,3,0,40,37
Groundnut,6,55,35,19,5,5
Groundnut,2,3,6,23,57,34
Arhar/Tur,21,29,58,0,51,0
Gram,13,60,5,7,0,15
Paddy,89,3,72,31,57,0
Mustard,82,8,35,0,32,5
Maize,184,92,40,0,0,10
Gram,17,31,13,3,29,7
Lentil,21,34,20,0,26,0
Mustard,34,25,35,46,15,5
Lentil,5,52,23,15,8,0
Sugarcane,18,125,11,257,0,49
Paddy,152,11,66,0,49,0
Wheat,128,79,44,0,0,0
Maize,88,96,12,62,0,38
Mustard,85,19,27,0,21,13
Gram,2,83,23,18,0,0
Gram,17,80,3,3,0,17
Groundnut,19,70,53,6,0,0
Cotton,166,78,86,0,0,0
Paddy,64,26,25,56,34,35
Maize,169,73,12,0,2,38
Groundnut,36,86,32,0,0,8
Arhar/Tur,27,41,7,0,39,33
Groundnut,31,18,46,0,42,0
Arhar/Tur,19,107,21,1,0,19
Cotton,100,18,29,20,42,31
Paddy,161,16,66,0,44,0
Cotton,33,51,38,87,9,22
Lentil,25,55,0,0,5,20
Soyabean,12,115,58,8,0,0
Lentil,19,30,12,1,30,8
Wheat,148,37,30,0,23,10
Soyabean,14,66,2,6,14,38
Wheat,27,9,5,93,51,35
Cotton,67,9,8,53,51,52
Maize,67,45,2,83,30,48
Sugarcane,342,57,77,0,28,0
Gram,5,16,29,15,44,0
Arhar/Tur,23,86,53,0,0,0
Arhar/Tur,3,9,30,17,71,10
Mustard,20,19,19,60,21,21
Soyabean,18,66,4,2,14,36
Arhar/Tur,7,92,6,13,0,34
Lentil,17,7,8,3,53,12
Paddy,87,87,28,33,0,32
Sugarcane,327,67,27,0,18,33
Soyabean,12,77,18,8,3,22
Mustard,25,7,32,55,33,8
Groundnut,6,9,29,19,51,11
Paddy,147,46,42,0,14,18
Wheat,62,31,9,58,29,31
Groundnut,29,5,31,0,55,9
Groundnut,31,57,29,0,3,11
Paddy,14,44,12,106,16,48
Potato,64,2,122,86,78,0
Sugarcane,58,44,15,217,41,45
Lentil,20,54,6,0,6,14
Potato,209,24,82,0,56,38
Paddy,91,15,57,29,45,3
Soyabean,22,23,18,0,57,22
Groundnut,5,70,13,20,0,27
Lentil,20,70,25,0,0,0
Sugarcane,411,107,36,0,0,24
Sugarcane,367,109,40,0,0,20
Cotton,60,70,85,60,0,0
Sugarcane,281,12,24,0,73,36
Paddy,132,51,10,0,9,50
Potato,216,69,86,0,11,34
Soyabean,3,72,15,17,8,25
Maize,190,3,33,0,72,17
Sugarcane,324,49,71,0,36,0
Wheat,66,38,24,54,22,16
Arhar/Tur,12,112,49,8,0,0
Groundnut,15,85,30,10,0,10
Maize,32,40,21,118,35,29
Cotton,131,22,52,0,38,8
Sugarcane,174,0,22,101,85,38
Wheat,90,17,1,30,43,39
Gram,13,59,0,7,1,20
Maize,20,43,20,130,32,30
Potato,140,40,33,10,40,87
Paddy,123,18,60,0,42,0
Soyabean,17,110,56,3,0,0
Wheat,158,12,34,0,48,6
Lentil,22,23,21,0,37,0
Wheat,115,31,16,5,29,24
Sugarcane,29,27,64,246,58,0
Paddy,172,83,54,0,0,6
Potato,212,112,154,0,0,0
Potato,152,68,54,0,12,66
Sugarcane,399,70,74,0,15,0
Cotton,101,38,11,19,22,49
Cotton,79,18,64,41,42,0
Lentil,7,67,12,13,0,8
Paddy,36,48,3,84,12,57
Maize,88,95,25,62,0,25
Cotton,128,32,20,0,28,40
Sugarcane,265,65,28,10,20,32
Sugarcane,322,28,63,0,57,0
Paddy,169,11,58,0,49,2
Potato,206,20,108,0,60,12
Maize,0,3,15,150,72,35
Sugarcane,196,12,84,79,73,0
Paddy,104,23,23,16,37,37
Mustard,46,49,11,34,0,29
Lentil,22,15,14,0,45,6
Maize,45,72,14,105,3,36
Groundnut,32,34,32,0,26,8
Soyabean,16,95,20,4,0,20
Gram,22,88,9,0,0,11
Sugarcane,262,76,30,13,9,30
Mustard,107,59,26,0,0,14
Wheat,125,52,52,0,8,0
Cotton,179,47,78,0,13,0
Potato,107,5,77,43,75,43
Paddy,65,69,65,55,0,0
Sugarcane,242,73,26,33,12,34
Paddy,7,63,12,113,0,48
Gram,7,18,6,13,42,14
Mustard,48,55,4,32,0,36
Arhar/Tur,10,64,48,10,16,0
Wheat,63,42,8,57,18,32
Arhar/Tur,4,27,2,16,53,38
Mustard,89,43,37,0,0,3
Paddy,53,77,61,67,0,0
Groundnut,22,48,57,3,12,0
Wheat,159,51,58,0,9,0
Gram,29,26,13,0,34,7
Soyabean,15,58,48,5,22,0
Cotton,139,13,80,0,47,0
Sugarcane,47,20,72,228,65,0
Groundnut,16,87,26,9,0,14
Soyabean,20,11,13,0,69,27
Paddy,117,49,27,3,11,33
Sugarcane,350,80,85,0,5,0
Cotton,165,12,35,0,48,25
Maize,20,107,33,130,0,17
Arhar/Tur,17,89,0,3,0,40
Potato,210,75,15,0,5,105
Maize,65,49,5,85,26,45
Groundnut,33,31,48,0,29,0
Mustard,39,30,45,41,10,0
Gram,24,39,18,0,21,2
Paddy,69,26,27,51,34,33
Wheat,154,18,12,0,42,28
Cotton,31,13,59,89,47,1
Cotton,46,36,84,74,24,0
Cotton,124,68,55,0,0,5
Mustard,17,1,36,63,39,4
Groundnut,8,66,54,17,0,0
Gram,1,26,10,19,34,10
Gram,24,84,24,0,0,0
Paddy,105,33,52,15,27,8
Mustard,5,42,35,75,0,5
Wheat,96,18,59,24,42,0
Arhar/Tur,11,66,46,9,14,0
Cotton,127,78,76,0,0,0
Groundnut,6,83,43,19,0,0
Arhar/Tur,0,39,4,20,41,36
Soyabean,20,21,55,0,59,0
Paddy,86,23,76,34,37,0
Potato,71,46,1,79,34,119
Cotton,6,0,49,114,60,11
Maize,7,1,8,143,74,42
Potato,162,85,109,0,0,11
Cotton,91,35,55,29,25,5
Gram,2,81,4,18,0,16
Soyabean,2,82,0,18,0,40
Maize,8,106,72,142,0,0
Groundnut,25,36,28,0,24,12
Sugarcane,67,98,55,208,0,5
Mustard,49,19,0,31,21,40
Groundnut,25,12,41,0,48,0
Potato,20,27,0,130,53,120
Cotton,74,14,21,46,46,39
Maize,207,85,54,0,0,0
Sugarcane,206,97,26,69,0,34
Cotton,1,78,21,119,0,39
Gram,15,52,5,5,8,15
Wheat,68,62,47,52,0,0
Paddy,2,77,58,118,0,2
Soyabean,1,39,10,19,41,30
Sugarcane,181,57,71,94,28,0
Maize,223,35,7,0,40,43
Paddy,166,51,40,0,9,20
Lentil,19,24,11,1,36,9
Gram,20,36,18,0,24,2
Arhar/Tur,21,46,15,0,34,25
Sugarcane,274,91,72,1,0,0
Gram,8,79,18,12,0,2
Lentil,1,76,1,19,0,19
Sugarcane,138,28,78,137,57,0
Wheat,138,50,11,0,10,29
Mustard,25,9,57,55,31,0
Lentil,13,54,13,7,6,7
Arhar/Tur,13,34,37,7,46,3
Wheat,24,60,56,96,0,0
Gram,21,66,23,0,0,0
Lentil,27,50,15,0,10,5
Mustard,31,43,23,49,0,17
Paddy,82,56,1,38,4,59
Soyabean,20,100,18,0,0,22
Sugarcane,359,18,1,0,67,59
Gram,17,70,15,3,0,5
Paddy,99,23,61,21,37,0
Soyabean,0,77,49,20,3,0
Soyabean,29,117,41,0,0,0
Paddy,175,2,45,0,58,15
Maize,200,79,18,0,0,32
Soyabean,7,34,32,13,46,8
Soyabean,22,85,58,0,0,0
Arhar/Tur,21,48,46,0,32,0
Gram,4,79,9,16,0,11
Sugarcane,296,37,32,0,48,28
Sugarcane,225,89,35,50,0,25
Arhar/Tur,16,19,51,4,61,0
Soyabean,9,82,35,11,0,5
Wheat,2,19,8,118,41,32
Cotton,89,25,43,31,35,17
Soyabean,20,117,48,0,0,0
Groundnut,8,5,25,17,55,15
Paddy,62,3,32,58,57,28
Lentil,14,75,7,6,0,13
Mustard,61,24,46,19,16,0
Cotton,38,33,28,82,27,32
Lentil,18,56,15,2,4,5
Paddy,56,74,10,64,0,50
Mustard,115,48,55,0,0,0
Wheat,50,53,27,70,7,13
Gram,12,5,14,8,55,6
Wheat,154,69,12,0,0,28
Sugarcane,221,84,0,54,1,60
Groundnut,3,37,9,22,23,31
Arhar/Tur,24,73,18,0,7,22
Mustard,1,47,14,79,0,26
Paddy,27,85,13,93,0,47
Cotton,169,41,47,0,19,13
Maize,102,24,17,48,51,33
Mustard,51,56,11,29,0,29
Cotton,25,63,44,95,0,16
Maize,126,1,18,24,74,32
Groundnut,23,74,52,2,0,0
Lentil,26,17,2,0,43,18
Groundnut,6,58,15,19,2,25
Gram,13,46,21,7,14,0
Arhar/Tur,8,53,52,12,27,0
Groundnut,10,61,33,15,0,7
Soyabean,0,62,21,20,18,19
Maize,98,73,3,52,2,47
Potato,61,5,11,89,75,109
Sugarcane,83,16,12,192,69,48
Groundnut,19,67,20,6,0,20
Wheat,179,75,28,0,0,12
Mustard,111,5,58,0,35,0
Sugarcane,35,94,57,240,0,3
Mustard,102,5,5,0,35,35
Sugarcane,237,59,63,38,26,0
Paddy,46,68,65,74,0,0
Lentil,10,80,0,10,0,20
Maize,178,55,50,0,20,0
Maize,103,67,73,47,8,0
Potato,199,101,172,0,0,0
Potato,113,33,100,37,47,20
Cotton,81,78,14,39,0,46
Cotton,168,32,65,0,28,0
Paddy,34,71,21,86,0,39
Maize,159,22,61,0,53,0
Maize,168,110,21,0,0,29
Gram,15,5,19,5,55,1
Gram,4,3,9,16,57,11
Paddy,86,27,81,34,33,0
Soyabean,11,85,47,9,0,0
Soyabean,10,18,35,10,62,5
Cotton,44,36,3,76,24,57
Mustard,89,2,23,0,38,17
Arhar/Tur,26,57,41,0,23,0
Groundnut,30,57,59,0,3,0
Wheat,13,77,4,107,0,36
Gram,6,19,0,14,41,20
Maize,52,55,49,98,20,1
Paddy,8,77,69,112,0,0
Potato,207,68,86,0,12,34
Sugarcane,75,62,49,200,23,11
Paddy,103,30,62,17,30,0
Gram,26,18,20,0,42,0
Cotton,146,30,43,0,30,17
Potato,28,95,18,122,0,102
Cotton,83,27,47,37,33,13
Sugarcane,110,1,78,165,84,0
Soyabean,12,101,18,8,0,22
Wheat,127,70,59,0,0,0
Soyabean,16,78,18,4,2,22
Potato,211,9,78,0,71,42
Sugarcane,51,4,0,224,81,60
Paddy,135,23,26,0,37,34
Gram,9,86,27,11,0,0
Cotton,176,8,8,0,52,52
Cotton,140,67,85,0,0,0
Maize,168,22,29,0,53,21
Lentil,24,82,23,0,0,0
Paddy,58,78,24,62,0,36
Gram,7,43,19,13,17,1
Potato,0,41,60,150,39,60
Soyabean,19,46,55,1,34,0
Arhar/Tur,0,51,53,20,29,0
Gram,18,26,28,2,34,0
Groundnut,17,50,51,8,10,0
Maize,79,0,5,71,75,45
Potato,114,96,107,36,0,13
Sugarcane,408,87,13,0,0,47
Maize,51,43,35,99,32,15
Maize,212,97,53,0,0,0
Maize,151,101,67,0,0,0
Wheat,22,66,4,98,0,36
Arhar/Tur,24,5,52,0,75,0
Cotton,8,51,30,112,9,30
Groundnut,33,39,3,0,21,37
Wheat,118,12,45,2,48,0
Arhar/Tur,24,76,58,0,4,0
Wheat,121,64,57,0,0,0
Mustard,100,45,59,0,0,0
Sugarcane,156,58,9,119,27,51
Cotton,7,10,81,113,50,0
Wheat,89,76,24,31,0,16
Wheat,91,15,27,29,45,13
Maize,145,61,45,5,14,5
Sugarcane,58,18,36,217,67,24
Mustard,101,45,54,0,0,0
Cotton,171,82,13,0,0,47
Gram,1,16,21,19,44,0
Wheat,26,66,45,94,0,0
Gram,2,75,6,18,0,14
Sugarcane,392,81,79,0,4,0
Sugarcane,383,5,4,0,80,56
Arhar/Tur,24,42,3,0,38,37
Maize,1,1,2,149,74,48
Sugarcane,235,121,40,40,0,20
Potato,87,60,104,63,20,16
Groundnut,16,5,27,9,55,13
Maize,67,110,51,83,0,0
Mustard,11,57,22,69,0,18
Gram,0,86,26,20,0,0
Lentil,5,62,10,15,0,10
Paddy,95,27,56,25,33,4
Maize,145,102,2,5,0,48
Paddy,75,46,12,45,14,48
Lentil,0,1,21,20,59,0
Potato,54,34,130,96,46,0
Cotton,78,4,84,42,56,0
Lentil,8,31,17,12,29,3
Arhar/Tur,19,59,41,1,21,0
Maize,50,78,36,100,0,14
Groundnut,33,69,8,0,0,32
Groundnut,33,65,6,0,0,34
Maize,180,19,57,0,56,0
Maize,189,27,42,0,48,8
Maize,14,3,8,136,72,42
Arhar/Tur,5,102,27,15,0,13
Arhar/Tur,7,115,27,13,0,13
Gram,16,61,25,4,0,0
Wheat,149,39,26,0,21,14
Groundnut,6,50,56,19,10,0
Sugarcane,334,23,85,0,62,0
Sugarcane,402,50,28,0,35,32
Lentil,24,45,17,0,15,3
Soyabean,1,45,39,19,35,1
Lentil,7,21,29,13,39,0
Lentil,3,12,15,17,48,5
Cotton,23,62,72,97,0,0
Potato,207,48,24,0,32,96
Cotton,164,77,84,0,0,0
Paddy,75,82,31,45,0,29
Mustard,15,45,21,65,0,19
Mustard,60,53,38,20,0,2
Cotton,76,7,11,44,53,49
Groundnut,17,70,57,8,0,0
Lentil,28,81,4,0,0,16
Maize,154,103,72,0,0,0
Cotton,160,77,22,0,0,38
Gram,10,25,24,10,35,0
Potato,67,96,42,83,0,78
Groundnut,11,30,8,14,30,32
Arhar/Tur,9,56,5,11,24,35
Paddy,59,44,31,61,16,29
Paddy,18,6,3,102,54,57
Gram,13,29,8,7,31,12
Wheat,63,3,57,57,57,0
Soyabean,18,5,32,2,75,8
Arhar/Tur,5,18,30,15,62,10
Paddy,22,34,7,98,26,53
Lentil,16,64,24,4,0,0
Cotton,89,25,29,31,35,31
Cotton,160,39,71,0,21,0
Soyabean,19,36,47,1,44,0
Sugarcane,65,117,43,210,0,17
Cotton,147,72,56,0,0,4
Paddy,174,79,12,0,0,48
Soyabean,7,43,43,13,37,0
Paddy,11,38,41,109,22,19
Sugarcane,168,8,44,107,77,16
Mustard,49,25,52,31,15,0
Cotton,44,16,13,76,44,47
Sugarcane,176,53,12,99,32,48
Arhar/Tur,17,87,52,3,0,0
Soyabean,16,78,33,4,2,7
Groundnut,33,35,2,0,25,38
Paddy,9,33,60,111,27,0
Gram,28,86,9,0,0,11
Arhar/Tur,12,94,2,8,0,38
Soyabean,9,34,50,11,46,0
Lentil,14,37,29,6,23,0
Sugarcane,43,110,65,232,0,0
Maize,72,85,21,78,0,29
Lentil,25,67,22,0,0,0
Potato,75,119,116,75,0,4
Maize,9,44,35,141,31,15
Groundnut,2,61,35,23,0,5
Sugarcane,110,46,28,165,39,32
Soyabean,11,114,19,9,0,21
Maize,42,51,53,108,24,0
Cotton,21,1,61,99,59,0
Paddy,143,2,13,0,58,47
Paddy,124,37,33,0,23,27
Paddy,163,71,57,0,0,3
Arhar/Tur,10,54,1,10,26,39
Maize,49,56,63,101,19,0
Paddy,139,47,7,0,13,53
Groundnut,22,68,41,3,0,0
Sugarcane,90,4,63,185,81,0
Gram,17,67,28,3,0,0
Groundnut,20,31,7,5,29,33
Lentil,25,85,28,0,0,0
Lentil,13,46,15,7,14,5
Arhar/Tur,27,45,4,0,35,36
Potato,216,102,35,0,0,85
Wheat,131,78,37,0,0,3
Paddy,155,10,89,0,50,0
Paddy,68,27,26,52,33,34
Paddy,89,82,29,31,0,31
Soyabean,29,110,14,0,0,26
Arhar/Tur,15,87,19,5,0,21
Arhar/Tur,3,13,0,17,67,40
Maize,78,9,33,72,66,17
Paddy,2,62,50,118,0,10
Potato,216,114,49,0,0,71
Potato,4,41,157,146,39,0
Groundnut,4,38,1,21,22,39
Lentil,17,89,2,3,0,18
Arhar/Tur,25,19,5,0,61,35
Mustard,78,12,42,2,28,0
Cotton,167,58,70,0,2,0
Wheat,160,21,0,0,39,40
Groundnut,35,41,58,0,19,0
Maize,149,5,8,1,70,42
Gram,7,15,26,13,45,0
Arhar/Tur,19,35,10,1,45,30
Gram,29,36,3,0,24,17
Lentil,29,35,27,0,25,0
Maize,111,29,52,39,46,0
Sugarcane,89,8,7,186,77,53
Potato,16,82,152,134,0,0
Lentil,25,51,7,0,9,13
Mustard,67,4,23,13,36,17
Soyabean,23,110,25,0,0,15
Cotton,111,16,18,9,44,42
Mustard,108,17,0,0,23,40
Arhar/Tur,8,58,19,12,22,21
Paddy,102,37,37,18,23,23
Groundnut,18,0,3,7,60,37
Mustard,59,54,37,21,0,3
Cotton,130,9,51,0,51,9
Wheat,164,69,46,0,0,0
Mustard,80,11,15,0,29,25
Lentil,8,19,11,12,41,9
Mustard,22,32,43,58,8,0
Wheat,100,34,40,20,26,0
Soyabean,27,37,1,0,43,39
Potato,67,67,167,83,13,0
Paddy,157,12,13,0,48,47
Mustard,19,26,39,61,14,1
Maize,197,71,8,0,4,42
Lentil,22,76,2,0,0,18
Sugarcane,298,65,76,0,20,0
Lentil,2,32,15,18,28,5
Sugarcane,45,104,37,230,0,23
Wheat,102,51,30,18,9,10
Arhar/Tur,26,69,54,0,11,0
Paddy,132,59,27,0,1,33
Potato,89,93,159,61,0,0
Potato,202,17,6,0,63,114
Gram,8,34,16,12,26,4
Wheat,100,38,32,20,22,8
Wheat,25,39,46,95,21,0
Arhar/Tur,7,115,14,13,0,26
Arhar/Tur,20,113,30,0,0,10
Wheat,111,48,36,9,12,4
Cotton,88,26,35,32,34,25
Gram,20,6,21,0,54,0
Maize,176,65,4,0,10,46
Cotton,48,47,13,72,13,47
Arhar/Tur,15,54,31,5,26,9
Potato,90,110,149,60,0,0
Potato,13,94,144,137,0,0
Wheat,28,2,46,92,58,0
Lentil,19,70,16,1,0,4
Lentil,8,27,7,12,33,13
Groundnut,3,38,38,22,22,2
Sugarcane,128,63,50,147,22,10
Cotton,13,62,1,107,0,59
Maize,102,79,33,48,0,17
Gram,9,54,24,11,6,0
Soyabean,3,96,5,17,0,35
Paddy,113,4,58,7,56,2
Soyabean,17,25,36,3,55,4
Potato,95,44,178,55,36,0
Soyabean,28,9,5,0,71,35
Sugarcane,411,4,27,0,81,33
Mustard,1,9,33,79,31,7
Wheat,177,69,1,0,0,39
Lentil,27,10,19,0,50,1
Potato,155,104,88,0,0,32
Maize,172,32,8,0,43,42
Arhar/Tur,22,47,5,0,33,35
Sugarcane,193,115,35,82,0,25
Potato,147,81,165,3,0,0
Potato,37,108,108,113,0,12
Wheat,99,42,23,21,18,17
Paddy,2,52,57,118,8,3
Groundnut,7,29,45,18,31,0
Lentil,29,85,14,0,0,6
Soyabean,25,0,38,0,80,2
Wheat,5,82,8,115,0,32
Potato,54,27,127,96,53,0
Wheat,159,69,25,0,0,15
Sugarcane,39,107,26,236,0,34
Groundnut,6,38,20,19,22,20
Groundnut,22,71,27,3,0,13
Gram,20,74,25,0,0,0
Arhar/Tur,18,104,59,2,0,0
Maize,5,13,36,145,62,14
Sugarcane,350,8,58,0,77,2
Sugarcane,125,14,8,150,71,52
Potato,148,9,126,2,71,0
Wheat,43,43,39,77,17,1
Paddy,45,12,75,75,48,0
Soyabean,13,41,6,7,39,34
Lentil,20,10,4,0,50,16
Groundnut,20,55,59,5,5,0
Groundnut,6,49,55,19,11,0
Soyabean,8,5,35,12,75,5
Soyabean,25,39,39,0,41,1
Cotton,30,39,19,90,21,41
Sugarcane,213,11,88,62,74,0
Maize,21,106,46,129,0,4
Potato,206,69,28,0,11,92
Sugarcane,347,95,65,0,0,0
Paddy,91,77,29,29,0,31
Mustard,89,38,12,0,2,28
Paddy,11,29,69,109,31,0
Mustard,2,29,19,78,11,21
Sugarcane,117,106,43,158,0,17
Gram,27,49,18,0,11,2
Maize,15,49,41,135,26,9
Gram,10,49,7,10,11,13
Cotton,81,26,47,39,34,13
Gram,8,10,25,12,50,0
Maize,165,0,16,0,75,34
Maize,14,12,10,136,63,40
Arhar/Tur,9,6,9,11,74,31
Cotton,79,63,61,41,0,0
Groundnut,11,13,50,14,47,0
Wheat,107,38,1,13,22,39
Maize,23,29,69,127,46,0
Groundnut,33,67,3,0,0,37
Soyabean,1,13,32,19,67,8
Wheat,161,55,26,0,5,14
Wheat,175,85,55,0,0,0
Soyabean,26,38,27,0,42,13
Gram,24,85,14,0,0,6
Mustard,27,28,43,53,12,0
Gram,18,13,13,2,47,7
Cotton,122,28,81,0,32,0
Lentil,9,46,24,11,14,0
Soyabean,24,36,55,0,44,0
Mustard,37,7,0,43,33,40
Sugarcane,398,39,48,0,46,12
Potato,49,10,72,101,70,48
Sugarcane,199,108,4,76,0,56
Lentil,20,75,12,0,0,8
Maize,115,0,32,35,75,18
Sugarcane,105,5,50,170,80,10
Cotton,110,21,13,10,39,47
Wheat,22,83,12,98,0,28
Paddy,128,20,15,0,40,45
Arhar/Tur,3,100,55,17,0,0
Potato,175,64,101,0,16,19
Potato,91,61,99,59,19,21
Mustard,69,5,16,11,35,24
Potato,189,74,15,0,6,105
Paddy,86,53,69,34,7,0
Mustard,62,37,53,18,3,0
Arhar/Tur,8,45,3,12,35,37
Cotton,9,36,31,111,24,29
Soyabean,29,113,20,0,0,20
Arhar/Tur,4,12,1,16,68,39
Paddy,80,33,17,40,27,43
Mustard,27,38,23,53,2,17
Paddy,130,6,4,0,54,56
Paddy,134,43,40,0,17,20
Arhar/Tur,27,99,53,0,0,0
Maize,16,67,41,134,8,9
Groundnut,13,67,32,12,0,8
Arhar/Tur,16,19,56,4,61,0
Mustard,90,15,29,0,25,11
Paddy,171,6,63,0,54,0
Lentil,1,51,5,19,9,15
Cotton,82,81,78,38,0,0
Gram,21,80,25,0,0,0
Paddy,46,10,1,74,50,59
Maize,135,47,63,15,28,0
Groundnut,17,43,53,8,17,0
Paddy,17,51,75,103,9,0
Gram,24,7,14,0,53,6
Gram,20,45,29,0,15,0
Gram,24,80,21,0,0,0
Sugarcane,367,72,78,0,13,0
Lentil,15,70,12,5,0,8
Soyabean,23,19,54,0,61,0
Soyabean,4,54,2,16,26,38
Soyabean,17,49,10,3,31,30
Arhar/Tur,25,2,29,0,78,11
Soyabean,22,67,15,0,13,25
Potato,118,29,122,32,51,0
Groundnut,4,8,21,21,52,19
Arhar/Tur,22,59,12,0,21,28
Gram,29,16,20,0,44,0
Arhar/Tur,25,71,5,0,9,35
Arhar/Tur,27,32,29,0,48,11
Maize,52,10,21,98,65,29
Sugarcane,269,122,16,6,0,44
Potato,200,77,114,0,3,6
Cotton,97,50,17,23,10,43
Mustard,72,56,57,8,0,0
Lentil,3,37,9,17,23,11
Potato,28,76,44,122,4,76
Potato,9,99,128,141,0,0
